,0
340," $1,350,000  "
341, 06/15/18  
342,Apartment
343,1895
344,No Data
345,No Data
346,1 space
347,No Data
348,"3058 Polk St # 2, San Francisco, CA 94109 "
349,3 beds
350,2 baths
351,"1,385 sqft"
352," $1,420,000  "
353, 06/15/18  
354,Condo
355,1989
356,Forced air
357,No Data
358,Attached Garage
359,$600/month
360,"159 Clifford Ter, San Francisco, CA 94117 "
361,2 beds
362,2 baths
363,"1,000 sqft"
364," $1,235,000  "
365, 06/25/18  
366,Condo
367,1926
368,No Data
369,No Data
370,None
371,$345/month
372,"79 Chattanooga St, San Francisco, CA 94114 "
373,3 beds
374,3.5 baths
375,"2,016 sqft"
376," $2,800,000  "
377, 06/25/18  
378,Condo
379,1887
380,No Data
381,No Data
382,Detached Garage
383,No Data
384,"1879 23rd Ave, San Francisco, CA 94122 "
385,4 beds
386,3 baths
387,"1,800 sqft"
388," $1,720,000  "
389, 06/22/18  
390,Single Family
391,1938
392,No Data
393,No Data
394,No Data
395,"3,000 sqft"
396,"432 Collingwood St, San Francisco, CA 94114 "
397,Studio
398,-- baths
399,"1,525 sqft"
400," $1,550,000  "
401, 06/22/18  
402,Multi Family
403,1900
404,No Data
405,No Data
406,Attached Garage
407,No Data
408,"225 26th Ave # 1, San Francisco, CA 94121 "
409,4 beds
410,4 baths
411,"2,031 sqft"
412," $1,850,000  "
413, 06/21/18  
414,Condo
415,2001
416,Forced air
417,No Data
418,1 space
419,$339/month
420,"1443 Francisco St, San Francisco, CA 94123 "
421,2 beds
422,1 bath
423,"1,270 sqft"
424," $1,625,000  "
425, 06/20/18  
426,Condo
427,1923
428,Forced air
429,Central
430,1 space
431,$375/month
432,"1631 Pierce St, San Francisco, CA 94115 "
433,3 beds
434,3 baths
435,"1,397 sqft"
436," $1,700,000  "
437, 06/20/18  
438,Condo
439,1900
440,No Data
441,No Data
442,1 space
443,$767/month
444,"75 Starview Way, San Francisco, CA 94131 "
445,4 beds
446,2 baths
447,"1,730 sqft"
448," $1,866,000  "
449, 06/20/18  
450,Single Family
451,1956
452,No Data
453,No Data
454,No Data
455,"3,628 sqft"
456,"180 Noe St, San Francisco, CA 94114 "
457,3 beds
458,1.5 baths
459,"1,407 sqft"
460," $1,535,000  "
461, 06/20/18  
462,Condo
463,1890
464,Forced air
465,No Data
466,No Data
467,No Data
468,"4205 Cesar Chavez St APT 1, San Francisco, CA 94131 "
469,2 beds
470,1 bath
471,-- sqft
472," $1,050,000  "
473, 06/19/18  
474,Condo
475,1974
476,No Data
477,No Data
478,1 space
479,$286/month
480,"18 Starview Way, San Francisco, CA 94131 "
481,3 beds
482,2 baths
483,"1,362 sqft"
484," $1,460,000  "
485, 06/15/18  
486,Single Family
487,1956
488,Forced air
489,Central
490,1 space
491,"3,323 sqft"
492,"5003 Diamond Heights Blvd, San Francisco, CA 94131 "
493,3 beds
494,3 baths
495,"2,160 sqft"
496," $1,400,000  "
497, 06/15/18  
498,Condo
499,1979
500,No Data
501,No Data
502,2 spaces
503,$675/month
504,"6139 California St, San Francisco, CA 94121 "
505,3 beds
506,3 baths
507,"2,237 sqft"
508," $2,500,000  "
509, 06/15/18  
510,Single Family
511,1913
512,Forced air
513,Central
514,Attached Garage
515,"1,873 sqft"
516,"3858 Jackson St, San Francisco, CA 94118 "
517,5 beds
518,4 baths
519,"4,010 sqft"
520," $8,550,000  "
521, 06/15/18  
522,Single Family
523,1927
524,No Data
525,No Data
526,No Data
527,"2,535 sqft"
528,"2200 Sacramento St APT 102, San Francisco, CA 94115 "
529,2 beds
530,2 baths
531,"1,139 sqft"
532," $1,730,000  "
533, 06/15/18  
534,Condo
535,1964
536,No Data
537,No Data
538,Attached Garage
539,$817/month
540,"1700 Gough St # 39, San Francisco, CA 94109 "
541,1 bed
542,2 baths
543,842 sqft
544," $960,000  "
545, 06/15/18  
546,Condo
547,1980
548,No Data
549,No Data
550,1 space
551,$416/month
552,"1293 37th Ave, San Francisco, CA 94122 "
553,4 beds
554,3.5 baths
555,"2,473 sqft"
556," $2,200,000  "
557, 06/15/18  
558,Single Family
559,1913
560,No Data
561,No Data
562,Attached Garage
563,"2,374 sqft"
564,"2454 Bush St, San Francisco, CA 94115 "
565,1 bed
566,2 baths
567,"1,204 sqft"
568," $2,500,000  "
569, 06/15/18  
570,Single Family
571,1880
572,No Data
573,No Data
574,No Data
575,No Data
576,"8 Buchanan St UNIT 507, San Francisco, CA 94102 "
577,1 bed
578,1 bath
579,636 sqft
580," $805,000  "
581, 06/15/18  
582,Condo
583,2014
584,No Data
585,No Data
586,None
587,$479/month
588,"136 Grattan St, San Francisco, CA 94117 "
589,3 beds
590,2 baths
591,"2,023 sqft"
592," $1,825,000  "
593, 06/15/18  
594,Condo
595,1909
596,No Data
597,No Data
598,Attached Garage
599,No Data
600,"1800 Noreiga, Street, CA 94122 "
601,5 beds
602,2 baths
603,"2,974 sqft"
604," $1,675,000  "
605, 06/14/18  
606,Multi Family
607,No Data
608,No Data
609,No Data
610,No Data
611,No Data
612,"155 Beaver St, San Francisco, CA 94114 "
613,2 beds
614,1 bath
