,0
1446,Single Family
1447,1928
1448,No Data
1449,No Data
1450,No Data
1451,"2,474 sqft"
1452,"1554 Masonic Ave, San Francisco, CA 94117 "
1453,3 beds
1454,2 baths
1455,"1,540 sqft"
1456," $2,805,000  "
1457, 06/01/18  
1458,Single Family
1459,1910
1460,Forced air
1461,Central
1462,2 spaces
1463,"3,123 sqft"
1464,"213 Moulton St, San Francisco, CA 94123 "
1465,3 beds
1466,4 baths
1467,"2,364 sqft"
1468," $2,650,000  "
1469, 06/01/18  
1470,Single Family
1471,1995
1472,No Data
1473,No Data
1474,Attached Garage
1475,"1,150 sqft"
1476,"1201 Diamond St, San Francisco, CA 94131 "
1477,2 beds
1478,2 baths
1479,"1,659 sqft"
1480," $2,450,000  "
1481, 06/01/18  
1482,Single Family
1483,1900
1484,No Data
1485,No Data
1486,Attached Garage
1487,"2,631 sqft"
1488,"532 Clipper St # B, San Francisco, CA 94114 "
1489,2 beds
1490,1 bath
1491,963 sqft
1492," $1,170,000  "
1493, 06/01/18  
1494,Condo
1495,1912
1496,No Data
1497,No Data
1498,No Data
1499,No Data
1500,"64 Potomac St, San Francisco, CA 94117 "
1501,-- beds
1502,1 bath
1503,"1,750 sqft"
1504," $2,500,000  "
1505, 06/01/18  
1506,Single Family
1507,1900
1508,No Data
1509,No Data
1510,No Data
1511,"2,247 sqft"
1512,"3737 Clay St, San Francisco, CA 94118 "
1513,4 beds
1514,3 baths
1515,"3,730 sqft"
1516," $1,986,400  "
1517, 06/01/18  
1518,Single Family
1519,1907
1520,No Data
1521,No Data
1522,No Data
1523,"3,188 sqft"
1524,"563 29th Ave, San Francisco, CA 94121 "
1525,1 bed
1526,1 bath
1527,670 sqft
1528," $870,000  "
1529, 06/01/18  
1530,Condo
1531,1954
1532,Forced air
1533,Central
1534,Attached Garage
1535,No Data
1536,"2524 Union St, San Francisco, CA 94123 "
1537,3 beds
1538,4 baths
1539,"3,989 sqft"
1540," $2,300,000  "
1541, 06/01/18  
1542,Single Family
1543,1900
1544,No Data
1545,No Data
1546,No Data
1547,"3,781 sqft"
1548,"1941 Lyon St, San Francisco, CA 94115 "
1549,3 beds
1550,2 baths
1551,"1,520 sqft"
1552," $2,155,000  "
1553, 06/01/18  
1554,Condo
1555,1900
1556,Forced air
1557,No Data
1558,1 space
1559,No Data
1560,"2754 Octavia St, San Francisco, CA 94123 "
1561,5 beds
1562,4 baths
1563,"3,100 sqft"
1564," $6,200,000  "
1565, 06/01/18  
1566,Single Family
1567,1900
1568,No Data
1569,No Data
1570,Attached Garage
1571,"2,966 sqft"
1572,"806 47th Ave # 302, San Francisco, CA 94121 "
1573,2 beds
1574,2 baths
1575,960 sqft
1576," $675,000  "
1577, 06/01/18  
1578,Condo
1579,1984
1580,No Data
1581,No Data
1582,No Data
1583,No Data
1584,"720 Fell St APT 3, San Francisco, CA 94117 "
1585,2 beds
1586,2 baths
1587,989 sqft
1588," $1,100,000  "
1589, 06/01/18  
1590,Condo
1591,1990
1592,No Data
1593,No Data
1594,No Data
1595,No Data
1596,"3150 Geary Blvd # 102, San Francisco, CA 94118 "
1597,1 bed
1598,1 bath
1599,925 sqft
1600," $945,000  "
1601, 06/01/18  
1602,Condo
1603,2008
1604,No Data
1605,No Data
1606,No Data
1607,No Data
1608,"222 Funston Ave, San Francisco, CA 94118 "
1609,2 beds
1610,2 baths
1611,"1,795 sqft"
1612," $1,675,000  "
1613, 06/01/18  
1614,Condo
1615,1923
1616,Forced air
1617,Central
1618,1 space
1619,$126/month
1620,"1539 35th Ave, San Francisco, CA 94122 "
1621,2 beds
1622,1 bath
1623,"1,851 sqft"
1624," $1,620,000  "
1625, 05/31/18  
1626,Single Family
1627,1932
1628,No Data
1629,No Data
1630,Attached Garage
1631,"3,267 sqft"
1632,"3621 Scott St, San Francisco, CA 94123 "
1633,4 beds
1634,3 baths
1635,"2,895 sqft"
1636," $4,100,000  "
1637, 05/31/18  
1638,Single Family
1639,1927
1640,Forced air
1641,No Data
1642,1 space
1643,"2,809 sqft"
1644,"227 Panorama Dr, San Francisco, CA 94131 "
1645,4 beds
1646,3 baths
1647,"2,100 sqft"
1648," $2,201,000  "
1649, 05/31/18  
1650,Single Family
1651,1956
1652,Forced air
1653,Central
1654,Attached Garage
1655,"3,628 sqft"
1656,"1339 21st Ave, San Francisco, CA 94122 "
1657,2 beds
1658,1.5 baths
1659,"1,400 sqft"
1660," $171,000  "
1661, 05/31/18  
1662,Single Family
1663,1931
1664,Forced air
1665,Central
1666,No Data
1667,"3,049 sqft"
1668,"570 Sanchez St, San Francisco, CA 94114 "
1669,4 beds
1670,3.5 baths
1671,"2,700 sqft"
1672," $3,025,000  "
1673, 05/31/18  
1674,Apartment
1675,1988
1676,Baseboard
1677,No Data
1678,Attached Garage
1679,$77/month
1680,"248 Upper Ter, San Francisco, CA 94117 "
1681,3 beds
1682,2.5 baths
1683,"2,388 sqft"
1684," $2,060,000  "
1685, 05/31/18  
1686,Single Family
1687,1988
1688,Forced air
1689,None
1690,2 spaces
1691,"1,659 sqft"
1692,"743 29th Ave, San Francisco, CA 94121 "
1693,3 beds
1694,2 baths
1695,"2,520 sqft"
1696," $2,200,000  "
1697, 05/31/18  
1698,Single Family
1699,1924
1700,Forced air
1701,No Data
1702,1 space
1703,"2,996 sqft"
1704,"415 Eureka St # 1, San Francisco, CA 94114 "
1705,3 beds
1706,2 baths
1707,"1,557 sqft"
1708," $1,850,000  "
1709, 05/31/18  
1710,Condo
1711,2001
1712,Forced air
1713,Central
1714,Attached Garage
1715,$350/month
1716,"295 14th Ave # 299, San Francisco, CA 94118 "
1717,4 beds
1718,3 baths
1719,"2,910 sqft"
1720," $3,000,000  "
1721, 05/31/18  
1722,Single Family
1723,2015
1724,No Data
1725,No Data
1726,No Data
1727,"2,562 sqft"
1728,"2014 Judah St, San Francisco, CA 94122 "
1729,Studio
1730,-- baths
1731,"2,027 sqft"
1732," $1,047,000  "
1733, 05/31/18  
1734,Multi Family
1735,1924
1736,No Data
1737,No Data
1738,Attached Garage
1739,No Data
1740,"350 Broderick St APT 303, San Francisco, CA 94117 "
1741,2 beds
1742,2 baths
1743,"1,071 sqft"
1744," $1,386,500  "
1745, 05/31/18  
1746,Condo
1747,2007
1748,No Data
1749,No Data
1750,Attached Garage
1751,$439/month
1752,"355 Buena Vista Ave E UNIT 611W, San Francisco, CA 94117 "
1753,1 bed
1754,1 bath
1755,657 sqft
1756," $825,000  "
1757, 05/31/18  
1758,Condo
1759,1986
1760,No Data
1761,No Data
1762,No Data
1763,$717/month
1764,"3542 Scott St, San Francisco, CA 94123 "
1765,2 beds
1766,1 bath
1767,"1,206 sqft"
1768," $1,556,000  "
1769, 05/31/18  
1770,Condo
1771,1925
1772,Forced air
1773,No Data
1774,1 space
1775,$280/month
1776,"568 Sanchez St, San Francisco, CA 94114 "
1777,3 beds
1778,2.5 baths
1779,"1,992 sqft"
1780," $3,025,000  "
1781, 05/31/18  
1782,Single Family
1783,1988
1784,"Baseboard, Forced air"
1785,Central
1786,Attached Garage
1787,No Data
1788,"142 Ewing Ter, San Francisco, CA 94118 "
1789,3 beds
1790,3 baths
1791,"2,400 sqft"
1792," $3,380,000  "
1793, 05/31/18  
1794,Single Family
1795,1941
1796,No Data
1797,No Data
1798,2 spaces
1799,"4,682 sqft"
1800,"2701 Van Ness Ave APT 411, San Francisco, CA 94109 "
1801,1 bed
1802,1 bath
1803,768 sqft
1804," $825,000  "
1805, 05/31/18  
1806,Condo
1807,1929
1808,No Data
1809,No Data
1810,1 space
1811,No Data
1812,"806 47th Ave # 202, San Francisco, CA 94121 "
1813,2 beds
1814,2 baths
1815,960 sqft
1816," $660,000  "
1817, 05/31/18  
1818,Condo
1819,1984
1820,No Data
1821,No Data
1822,No Data
1823,No Data
1824,"1854 Mcallister St # 1856, San Francisco, CA 94115 "
1825,Studio
1826,2 baths
1827,"2,846 sqft"
1828," $2,160,000  "
1829, 05/31/18  
1830,Single Family
1831,No Data
1832,No Data
1833,No Data
1834,No Data
1835,"3,437 sqft"
1836,"450 Hayes St UNIT 4F, San Francisco, CA 94102 "
1837,2 beds
1838,2 baths
1839,"1,141 sqft"
1840," $1,925,000  "
1841, 05/30/18  
1842,Condo
1843,2016
1844,No Data
1845,No Data
1846,Attached Garage
1847,$883/month
1848,"894 29th Ave, San Francisco, CA 94121 "
1849,3 beds
1850,2 baths
1851,"1,563 sqft"
1852," $1,450,000  "
1853, 05/30/18  
1854,Single Family
1855,1941
1856,No Data
1857,No Data
1858,1 space
1859,"2,375 sqft"
1860,"450 Hayes St UNIT 4F, San Francisco, CA 94102 "
1861,2 beds
1862,2 baths
1863,"1,141 sqft"
1864," $1,925,000  "
1865, 05/30/18  
1866,Condo
1867,2016
1868,No Data
1869,No Data
1870,Attached Garage
1871,$883/month
1872,"1877 Green St, San Francisco, CA 94123 "
1873,2 beds
1874,1 bath
1875,"1,093 sqft"
1876," $1,600,000  "
1877, 05/30/18  
1878,Condo
1879,1890
1880,No Data
1881,No Data
1882,1 space
1883,$90/month
1884,"5337 California St, San Francisco, CA 94118 "
1885,4 beds
1886,3 baths
1887,"1,815 sqft"
1888," $2,001,224  "
1889, 05/30/18  
1890,Single Family
1891,1906
1892,No Data
1893,No Data
1894,2 spaces
1895,"2,250 sqft"
1896,"99 Cragmont Ave, San Francisco, CA 94116 "
1897,3 beds
1898,2 baths
1899,"1,000 sqft"
1900," $1,500,000  "
1901, 05/30/18  
1902,Single Family
1903,1951
1904,Forced air
1905,None
1906,1 space
1907,"2,000 sqft"
1908,"2121 Laguna St # 400, San Francisco, CA 94115 "
1909,1 bed
1910,1 bath
1911,680 sqft
1912," $849,000  "
1913, 05/30/18  
1914,Condo
1915,1960
1916,No Data
1917,No Data
1918,No Data
1919,No Data
1920,"1459 41st Ave, San Francisco, CA 94122 "
1921,-- beds
1922,1 bath
1923,"1,250 sqft"
1924," $1,300,000  "
1925, 05/30/18  
1926,Single Family
1927,1938
1928,No Data
1929,No Data
1930,No Data
1931,"2,996 sqft"
1932,"432 Moraga St, San Francisco, CA 94122 "
1933,4 beds
1934,4.5 baths
1935,"3,832 sqft"
1936," $3,400,000  "
1937, 05/30/18  
1938,Single Family
1939,1923
1940,No Data
1941,No Data
1942,Attached Garage
1943,"2,500 sqft"
1944,"677 Sanchez St, San Francisco, CA 94114 "
1945,4 beds
1946,3 baths
1947,"2,364 sqft"
1948," $4,700,000  "
1949, 05/30/18  
1950,Single Family
1951,1912
1952,Other
1953,No Data
1954,"On street, Attached Garage"
1955,"2,622 sqft"
1956,"1649 Page St, San Francisco, CA 94117 "
1957,3 beds
1958,1.5 baths
1959,"1,692 sqft"
1960," $1,800,000  "
1961, 05/30/18  
1962,Condo
1963,1898
1964,Forced air
1965,Central
1966,1 space
1967,$435/month
1968,"1459 47th Ave, San Francisco, CA 94122 "
1969,3 beds
1970,1.5 baths
1971,"1,493 sqft"
1972," $1,385,000  "
1973, 05/30/18  
1974,Single Family
1975,1947
1976,Forced air
1977,Central
1978,No Data
1979,"3,001 sqft"
1980,"339 Carl St, San Francisco, CA 94117 "
1981,2 beds
1982,1 bath
1983,-- sqft
1984," $1,625,000  "
1985, 05/30/18  
1986,Condo
1987,No Data
1988,No Data
1989,No Data
1990,Attached Garage
1991,$267/month
1992,"741 Noe St, San Francisco, CA 94114 "
1993,3 beds
1994,2 baths
1995,"1,562 sqft"
1996," $1,950,000  "
1997, 05/29/18  
1998,Condo
1999,1941
2000,Forced air
2001,Central
2002,1 space
2003,$210/month
2004,"663 44th Ave, San Francisco, CA 94121 "
2005,3 beds
2006,1 bath
2007,"1,450 sqft"
2008," $1,510,000  "
2009, 05/29/18  
2010,Single Family
2011,1925
2012,No Data
2013,No Data
2014,No Data
2015,"2,996 sqft"
2016,"2040 Franklin St APT 502, San Francisco, CA 94109 "
2017,1 bed
2018,1.5 baths
2019,"1,018 sqft"
2020," $1,050,000  "
2021, 05/29/18  
2022,Condo
2023,1966
2024,No Data
2025,No Data
2026,1 space
2027,$650/month
2028,"4038 Cesar Chavez St, San Francisco, CA 94131 "
2029,Studio
2030,-- baths
2031,"2,050 sqft"
2032," $1,750,000  "
2033, 05/29/18  
2034,Multi Family
2035,1905
2036,No Data
2037,No Data
2038,No Data
2039,No Data
2040,"701 Quintara St, San Francisco, CA 94116 "
2041,3 beds
2042,3 baths
2043,"1,791 sqft"
2044," $1,300,000  "
2045, 05/29/18  
2046,Single Family
2047,1940
2048,No Data
2049,No Data
2050,1 space
2051,"1,603 sqft"
2052,"1410 Stanyan St, San Francisco, CA 94114 "
2053,4 beds
2054,3.5 baths
2055,"3,687 sqft"
2056," $3,535,000  "
2057, 05/29/18  
2058,Single Family
2059,2012
2060,No Data
2061,No Data
2062,No Data
2063,"2,888 sqft"
2064,"4540 20th St, San Francisco, CA 94114 "
2065,2 beds
2066,3 baths
2067,"1,918 sqft"
2068," $2,325,000  "
2069, 05/29/18  
2070,Single Family
2071,1900
2072,Forced air
2073,Central
2074,Attached Garage
2075,"1,873 sqft"
2076,"2 Hill Point Ave, San Francisco, CA 94117 "
2077,4 beds
2078,3.5 baths
2079,"2,695 sqft"
2080," $3,070,000  "
2081, 05/29/18  
2082,Single Family
2083,1918
2084,No Data
2085,No Data
2086,Detached Garage
2087,"3,484 sqft"
2088,"437 Hoffman Ave, San Francisco, CA 94114 "
2089,3 beds
2090,2 baths
2091,"2,300 sqft"
2092," $2,555,000  "
2093, 05/29/18  
2094,Single Family
2095,1905
2096,Wall
2097,No Data
2098,No Data
2099,"3,375 sqft"
2100,"255 10th Ave, San Francisco, CA 94118 "
2101,7 beds
2102,3.5 baths
2103,"3,355 sqft"
2104," $2,650,000  "
2105, 05/29/18  
2106,Single Family
2107,1898
2108,Forced air
2109,Central
2110,No Data
2111,"3,659 sqft"
2112,"220 Liberty St, San Francisco, CA 94114 "
2113,2 beds
2114,1 bath
2115,"1,525 sqft"
2116," $1,825,000  "
2117, 05/29/18  
2118,Condo
2119,1911
2120,Forced air
2121,Central
2122,No Data
2123,$500/month
2124,"1401 Eddy St # 6, San Francisco, CA 94115 "
2125,1 bed
2126,1 bath
2127,588 sqft
2128," $685,000  "
2129, 05/25/18  
2130,Condo
2131,1984
2132,No Data
2133,No Data
2134,No Data
2135,$346/month
2136,"1570 12th Ave, San Francisco, CA 94122 "
2137,4 beds
2138,2.5 baths
2139,"2,925 sqft"
2140," $2,500,000  "
2141, 05/25/18  
2142,Single Family
2143,1904
2144,No Data
2145,No Data
2146,No Data
2147,"3,001 sqft"
2148,"2039 22nd Ave, San Francisco, CA 94116 "
2149,3 beds
2150,1 bath
2151,"1,500 sqft"
2152," $1,361,000  "
2153, 05/25/18  
2154,Single Family
2155,1941
2156,Forced air
2157,Central
2158,No Data
2159,"3,001 sqft"
2160,"1859 Scott St, San Francisco, CA 94115 "
2161,4 beds
2162,3 baths
2163,"2,575 sqft"
2164," $2,735,000  "
2165, 05/25/18  
2166,Condo
2167,1900
2168,No Data
2169,No Data
2170,1 space
2171,No Data
2172,"431 Lake St, San Francisco, CA 94118 "
2173,Studio
2174,1 bath
2175,"2,534 sqft"
2176," $3,210,000  "
2177, 05/25/18  
2178,Single Family
2179,1909
2180,No Data
2181,No Data
2182,No Data
2183,"2,748 sqft"
2184,"3059 Fillmore St # 3063, San Francisco, CA 94123 "
2185,Studio
2186,4 baths
2187,"6,624 sqft"
2188," $6,250,000  "
2189, 05/25/18  
2190,Single Family
2191,1906
2192,No Data
2193,No Data
2194,No Data
2195,"3,545 sqft"
2196,"3420 Divisadero St, San Francisco, CA 94123 "
2197,2 beds
2198,1.5 baths
2199,"1,963 sqft"
2200," $2,210,000  "
2201, 05/25/18  
2202,Condo
2203,1927
2204,No Data
2205,No Data
2206,Attached Garage
2207,$350/month
2208,"15 Sea Cliff Ave, San Francisco, CA 94121 "
2209,5 beds
2210,4 baths
2211,"3,500 sqft"
2212," $4,800,000  "
2213, 05/25/18  
2214,Single Family
2215,1924
2216,No Data
2217,No Data
2218,2 spaces
2219,"5,153 sqft"
2220,"33 Beideman St, San Francisco, CA 94115 "
2221,2 beds
2222,1.5 baths
2223,989 sqft
2224," $1,340,000  "
2225, 05/25/18  
2226,Condo
2227,1900
2228,Forced air
2229,Central
2230,Carport
2231,$235/month
2232,"183 Downey St, San Francisco, CA 94117 "
2233,3 beds
2234,1 bath
2235,"1,193 sqft"
2236," $3,660,000  "
2237, 05/25/18  
2238,Condo
2239,1963
2240,No Data
2241,No Data
2242,No Data
2243,No Data
2244,"3732 23rd St APT 1, San Francisco, CA 94114 "
2245,1 bed
2246,1 bath
2247,434 sqft
2248," $775,000  "
2249, 05/25/18  
2250,Condo
2251,1890
2252,Forced air
2253,Central
2254,None
2255,$250/month
2256,"1027 Cole St, San Francisco, CA 94117 "
2257,4 beds
2258,3.5 baths
2259,"2,850 sqft"
2260," $4,075,000  "
2261, 05/25/18  
2262,Single Family
2263,1905
2264,"Forced air, Radiant"
2265,No Data
2266,2 spaces
2267,"2,607 sqft"
2268,"1819 46th Ave, San Francisco, CA 94122 "
2269,-- beds
2270,1 bath
2271,"1,275 sqft"
2272," $850,000  "
2273, 05/25/18  
2274,Single Family
2275,1948
2276,No Data
2277,No Data
2278,No Data
2279,"2,996 sqft"
2280,"2425 Market St APT 6, San Francisco, CA 94114 "
2281,2 beds
2282,1 bath
2283,857 sqft
2284," $1,133,000  "
2285, 05/25/18  
2286,Condo
2287,1981
2288,No Data
2289,No Data
2290,Attached Garage
2291,No Data
2292,"355 Buena Vista Ave E UNIT 112W, San Francisco, CA 94117 "
2293,2 beds
2294,2 baths
2295,"1,202 sqft"
2296," $1,375,000  "
2297, 05/25/18  
2298,Condo
2299,1986
2300,No Data
2301,No Data
2302,No Data
2303,No Data
2304,"1235 Mcallister St APT 112, San Francisco, CA 94115 "
2305,1 bed
2306,1 bath
2307,659 sqft
2308," $444,500  "
2309, 05/25/18  
2310,Condo
2311,2000
2312,No Data
2313,None
2314,No Data
2315,$340/month
2316,"2760 Divisadero St, San Francisco, CA 94123 "
2317,5 beds
2318,4 baths
2319,"4,712 sqft"
2320," $8,700,000  "
2321, 05/24/18  
2322,Single Family
2323,1915
2324,No Data
2325,No Data
2326,No Data
2327,"3,815 sqft"
2328,"1379 35th Ave, San Francisco, CA 94122 "
2329,3 beds
2330,2 baths
2331,"1,845 sqft"
2332," $1,625,000  "
2333, 05/24/18  
2334,Single Family
2335,1928
2336,Forced air
2337,Central
2338,Attached Garage
2339,"3,001 sqft"
2340,"3212 Broderick St, San Francisco, CA 94123 "
2341,3 beds
2342,1.5 baths
2343,"1,856 sqft"
2344," $2,500,000  "
2345, 05/24/18  
2346,Single Family
2347,1930
2348,No Data
2349,No Data
2350,No Data
2351,"2,343 sqft"
2352,"215 3rd Ave, San Francisco, CA 94118 "
2353,2 beds
2354,1 bath
2355,"1,052 sqft"
2356," $4,500,000  "
2357, 05/23/18  
2358,Single Family
2359,1893
2360,No Data
2361,No Data
2362,2 spaces
2363,"3,000 sqft"
2364,"827 Corbett Ave APT 202A, San Francisco, CA 94131 "
2365,1 bed
2366,1 bath
2367,735 sqft
2368," $805,000  "
2369, 05/23/18  
2370,Condo
2371,1961
2372,Forced air
2373,Central
2374,Carport
2375,$401/month
2376,"1516 La Playa St, San Francisco, CA 94122 "
2377,4 beds
2378,3 baths
2379,"2,120 sqft"
2380," $1,830,000  "
2381, 05/23/18  
2382,Single Family
2383,1948
2384,Forced air
2385,Central
2386,No Data
2387,"3,070 sqft"
2388,"657 Corbett Ave APT 1, San Francisco, CA 94114 "
2389,4 beds
2390,3 baths
2391,"1,900 sqft"
2392," $1,675,000  "
2393, 05/23/18  
2394,Condo
2395,2003
2396,No Data
2397,No Data
2398,No Data
2399,No Data
2400,"2618 Jackson St, San Francisco, CA 94115 "
2401,3 beds
2402,3 baths
2403,"2,500 sqft"
2404," $5,500,000  "
2405, 05/22/18  
2406,Condo
2407,1900
2408,No Data
2409,No Data
2410,Attached Garage
2411,$666/month
2412,"1951 Golden Gate Ave, San Francisco, CA 94115 "
2413,2 beds
2414,2 baths
2415,"1,200 sqft"
2416," $1,500,000  "
2417, 05/22/18  
2418,Condo
2419,1908
2420,No Data
2421,No Data
2422,Attached Garage
2423,No Data
2424,"522 43rd Ave, San Francisco, CA 94121 "
2425,2 beds
2426,2 baths
2427,"1,414 sqft"
2428," $1,460,000  "
2429, 05/22/18  
2430,Single Family
2431,1940
2432,Forced air
2433,Central
2434,1 space
2435,"2,374 sqft"
2436,"2269 Francisco St, San Francisco, CA 94123 "
2437,3 beds
2438,2 baths
2439,"1,729 sqft"
2440," $2,850,000  "
2441, 05/22/18  
2442,Condo
2443,1924
2444,Forced air
2445,Central
2446,2 spaces
2447,$400/month
2448,"525 47th Ave, San Francisco, CA 94121 "
2449,3 beds
2450,2 baths
2451,"1,800 sqft"
2452," $1,865,000  "
2453, 05/22/18  
2454,Single Family
2455,1931
2456,Forced air
2457,Central
2458,2 spaces
2459,"3,001 sqft"
2460,"1325 11th Ave, San Francisco, CA 94122 "
2461,3 beds
2462,1 bath
2463,"1,361 sqft"
2464," $1,475,000  "
2465, 05/21/18  
2466,Condo
2467,1903
2468,No Data
2469,No Data
2470,No Data
2471,$283/month
2472,"62 Perine Pl # 64, San Francisco, CA 94115 "
2473,2 beds
2474,2 baths
2475,"1,660 sqft"
2476," $310,000  "
2477, 05/21/18  
2478,Single Family
2479,1909
2480,No Data
2481,No Data
2482,No Data
2483,981 sqft
2484,"207 Caselli Ave, San Francisco, CA 94114 "
2485,2 beds
2486,1 bath
2487,"1,161 sqft"
2488," $1,500,000  "
2489, 05/21/18  
2490,Condo
2491,1907
2492,No Data
2493,No Data
2494,"Carport, Attached Garage"
2495,$150/month
2496,"1854 Vallejo St APT E, San Francisco, CA 94123 "
2497,3 beds
2498,3 baths
2499,"1,818 sqft"
2500," $2,350,000  "
2501, 05/21/18  
2502,Condo
2503,1925
2504,No Data
2505,No Data
2506,1 space
2507,$845/month
2508,"1495 39th Ave, San Francisco, CA 94122 "
2509,2 beds
2510,1 bath
2511,"1,125 sqft"
2512," $323,000  "
2513, 05/21/18  
2514,Single Family
2515,1938
2516,Forced air
2517,Central
2518,No Data
2519,"2,374 sqft"
2520,"882 25th Ave, San Francisco, CA 94121 "
2521,3 beds
2522,2.5 baths
2523,"2,216 sqft"
2524," $1,800,000  "
2525, 05/21/18  
2526,Single Family
2527,1923
2528,Forced air
2529,Central
2530,Attached Garage
2531,"2,038 sqft"
2532,"3541 Cabrillo St, San Francisco, CA 94121 "
2533,3 beds
2534,3 baths
2535,"2,000 sqft"
2536," $1,825,000  "
2537, 05/18/18  
2538,Single Family
2539,1925
2540,Forced air
2541,Central
2542,2 spaces
2543,"2,495 sqft"
2544,"876 43rd Ave, San Francisco, CA 94121 "
2545,4 beds
2546,4 baths
2547,"2,448 sqft"
2548," $1,760,000  "
2549, 05/18/18  
2550,Single Family
2551,1916
2552,Forced air
2553,None
2554,2 spaces
2555,"3,001 sqft"
2556,"790 7th Ave APT 303, San Francisco, CA 94118 "
2557,2 beds
2558,2 baths
2559,"1,130 sqft"
2560," $1,050,000  "
2561, 05/18/18  
2562,Condo
2563,1981
2564,Forced air
2565,No Data
2566,1 space
2567,$360/month
2568,"3023 Clement St # 3027, San Francisco, CA 94121 "
2569,Studio
2570,4 baths
2571,"4,333 sqft"
2572," $1,450,000  "
2573, 05/18/18  
2574,Single Family
2575,1906
2576,No Data
2577,No Data
2578,No Data
2579,"2,495 sqft"
2580,"2431 Lincoln Way, San Francisco, CA 94122 "
2581,2 beds
2582,1 bath
2583,"1,370 sqft"
2584," $1,430,000  "
2585, 05/18/18  
2586,Single Family
2587,1922
2588,No Data
2589,None
2590,Attached Garage
2591,"2,495 sqft"
2592,"10 Marcela Ave, San Francisco, CA 94116 "
2593,3 beds
2594,3 baths
2595,"2,200 sqft"
2596," $2,100,000  "
2597, 05/18/18  
2598,Single Family
2599,1931
2600,Forced air
2601,Central
2602,2 spaces
2603,"4,451 sqft"
2604,"1014 Diamond St # 1016, San Francisco, CA 94114 "
2605,6 beds
2606,5 baths
2607,"2,800 sqft"
2608," $1,660,000  "
2609, 05/18/18  
2610,Single Family
2611,2018
2612,No Data
2613,No Data
2614,On street
2615,"2,238 sqft"
2616,"530 Clipper St, San Francisco, CA 94114 "
2617,2 beds
2618,1 bath
2619,960 sqft
2620," $1,100,000  "
2621, 05/18/18  
2622,Condo
2623,1912
2624,Baseboard
2625,No Data
2626,None
2627,$436/month
2628,"476 27th St, San Francisco, CA 94131 "
2629,3 beds
2630,2 baths
2631,"1,900 sqft"
2632," $2,500,000  "
2633, 05/18/18  
2634,Single Family
2635,1900
2636,No Data
2637,No Data
2638,Attached Garage
2639,"3,267 sqft"
2640,"1077 Page St, San Francisco, CA 94117 "
2641,2 beds
2642,1 bath
2643,"1,217 sqft"
2644," $1,600,000  "
2645, 05/18/18  
2646,Condo
2647,1948
2648,Forced air
2649,Central
2650,Attached Garage
2651,$200/month
2652,"635 11th Ave, San Francisco, CA 94118 "
2653,6 beds
2654,2 baths
2655,"3,288 sqft"
2656," $2,400,000  "
2657, 05/18/18  
2658,Single Family
2659,1922
2660,Forced air
2661,Central
2662,No Data
2663,"3,001 sqft"
2664,"2718 Octavia St, San Francisco, CA 94123 "
2665,1 bed
2666,1 bath
2667,700 sqft
2668," $940,000  "
2669, 05/18/18  
2670,Condo
2671,1922
2672,No Data
2673,No Data
2674,Attached Garage
2675,No Data
2676,"3672 16th St # A, San Francisco, CA 94114 "
2677,1 bed
2678,1 bath
2679,712 sqft
2680," $325,000  "
2681, 05/18/18  
2682,Condo
2683,No Data
2684,No Data
2685,No Data
2686,No Data
2687,No Data
2688,"258 Hermann St, San Francisco, CA 94117 "
2689,3 beds
2690,2 baths
2691,"1,102 sqft"
2692," $1,605,000  "
2693, 05/18/18  
2694,Condo
2695,1900
2696,Baseboard
2697,Wall
2698,Attached Garage
2699,No Data
2700,"1246 Stanyan St, San Francisco, CA 94117 "
2701,3 beds
2702,2.5 baths
2703,"1,886 sqft"
2704," $1,862,500  "
2705, 05/18/18  
2706,Single Family
2707,1900
2708,Forced air
2709,Central
2710,Attached Garage
2711,"3,946 sqft"
2712,"1234 Stanyan St, San Francisco, CA 94117 "
2713,3 beds
2714,2 baths
2715,"2,593 sqft"
2716," $2,200,000  "
2717, 05/18/18  
2718,Single Family
2719,1925
2720,Baseboard
2721,No Data
2722,1 space
2723,"2,500 sqft"
2724,"1583 28th Ave, San Francisco, CA 94122 "
2725,2 beds
2726,1.5 baths
2727,"1,500 sqft"
2728," $1,400,000  "
2729, 05/18/18  
2730,Single Family
2731,1928
2732,No Data
2733,None
2734,Attached Garage
2735,"2,374 sqft"
2736,"2761 Pine St, San Francisco, CA 94115 "
2737,4 beds
2738,6 baths
2739,"3,525 sqft"
2740," $4,700,000  "
2741, 05/18/18  
2742,Single Family
2743,1900
2744,No Data
2745,No Data
2746,2 spaces
2747,"2,286 sqft"
2748,"2163 21st Ave, San Francisco, CA 94116 "
2749,3 beds
2750,1 bath
2751,"1,792 sqft"
2752," $1,575,000  "
2753, 05/17/18  
2754,Single Family
2755,1928
2756,No Data
2757,No Data
2758,Attached Garage
2759,"2,996 sqft"
2760,"1963-A Clay St, San Francisco, CA 94109 "
2761,Studio
2762,1 bath
2763,510 sqft
2764," $702,500  "
2765, 05/17/18  
2766,Condo
2767,1938
2768,Baseboard
2769,No Data
2770,None
2771,$172/month
2772,"3509 Noriega St, San Francisco, CA 94122 "
2773,2 beds
2774,1 bath
2775,"1,100 sqft"
2776," $1,150,000  "
2777, 05/17/18  
2778,Single Family
2779,1945
2780,No Data
2781,No Data
2782,No Data
