SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2018,Single Family Residential,401 28th St,San Francisco,CA,94131,1255000,1,1.0,Noe Valley,1010,2117,1910,17,1243,,Sold,,,http://www.redfin.com/CA/San-Francisco/401-28th-St-94131/home/804101,San Francisco MLS,471395,N,Y,37.7448856,-122.4315239
PAST SALE,June-27-2018,Condo/Co-op,53 Wilder St #402,San Francisco,CA,94131,1300000,2,2.0,Glen Park,1237,,2006,18,1051,642,Sold,,,http://www.redfin.com/CA/San-Francisco/53-Wilder-St-94131/unit-402/home/17306499,San Francisco MLS,472835,N,Y,37.7339807,-122.4334369
PAST SALE,July-6-2018,Multi-Family (2-4 Unit),375-377 Hearst Ave,San Francisco,CA,94112,1130000,3,2.0,Sunnyside,1750,2809,1907,9,646,,Sold,,,http://www.redfin.com/CA/San-Francisco/377-Hearst-Ave-94112/home/1965404,San Francisco MLS,471975,N,Y,37.7305845,-122.445994
PAST SALE,June-29-2018,Single Family Residential,289 Joost Ave,San Francisco,CA,94131,1620000,3,2.0,Sunnyside,1970,1875,1925,16,822,,Sold,,,http://www.redfin.com/CA/San-Francisco/289-Joost-Ave-94131/home/815891,San Francisco MLS,470834,N,Y,37.7322016,-122.4417364
PAST SALE,,Single Family Residential,1020 Munich St,San Francisco,CA,94112,1100000,4,2.0,,1550,2352,1923,,710,,,,,http://www.redfin.com/CA/San-Francisco/1020-Munich-St-94112/home/908141,,,N,Y,37.7118454,-122.4339286
PAST SALE,June-19-2018,Condo/Co-op,201 Folsom St Unit 30E,San Francisco,CA,94105,3116000,3,3.0,South Beach,1780,,2018,26,1751,1205,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-30E/home/139923641,San Francisco MLS,469808,N,Y,37.7886997,-122.39226
PAST SALE,June-29-2018,Condo/Co-op,338 Spear St Unit 29A,San Francisco,CA,94105,1600000,2,2.0,South Beach,,,,16,,948,Sold,,,http://www.redfin.com/CA/San-Francisco/338-Spear-St-94105/unit-29A/home/23424125,San Francisco MLS,470464,N,Y,37.789557,-122.390595
PAST SALE,June-29-2018,Condo/Co-op,201 Folsom St Unit 33B,San Francisco,CA,94105,5455000,3,3.0,South Beach,2692,,2018,16,2026,1350,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-33B/home/144064151,San Francisco MLS,472880,N,Y,37.7886997,-122.39226
PAST SALE,June-15-2018,Condo/Co-op,301 Main Unit 17G,San Francisco,CA,94105,980000,1,1.0,South Beach,809,,2008,30,1211,898,Sold,,,http://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-17G/home/21966778,San Francisco MLS,469636,N,Y,37.7895974,-122.3911965
PAST SALE,July-2-2018,Condo/Co-op,333 Beale St Unit 3F,San Francisco,CA,94105,1069000,1,1.0,South Beach,920,,2015,13,1162,1061,Sold,,,http://www.redfin.com/CA/San-Francisco/333-Beale-St-94105/unit-3F/home/103689078,San Francisco MLS,471374,N,Y,37.7886251,-122.391875
PAST SALE,July-3-2018,Condo/Co-op,318 Spear St Unit 3C,San Francisco,CA,94105,900000,1,1.0,South Beach,842,,2008,12,1069,904,Sold,,,http://www.redfin.com/CA/San-Francisco/318-Spear-St-94105/unit-3C/home/21967029,San Francisco MLS,472837,N,Y,37.7897457,-122.3908558
PAST SALE,July-2-2018,Condo/Co-op,301 Main St Unit 8B,San Francisco,CA,94105,2040000,2,2.5,South Beach,1812,,2008,13,1126,1036,Sold,,,http://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-8B/home/21967024,San Francisco MLS,469379,N,Y,37.7895974,-122.3911965
PAST SALE,June-29-2018,Condo/Co-op,425 1st St #3604,San Francisco,CA,94105,850000,1,1.0,South Beach,605,,2008,16,1405,859,Sold,,,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-3604/home/17305194,San Francisco MLS,472954,N,Y,37.7860609,-122.3925906
PAST SALE,July-3-2018,Condo/Co-op,201 Sansome St #703,San Francisco,CA,94104,820000,1,1.0,Financial District,664,,1909,12,1235,612,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Sansome-St-94104/unit-703/home/12277364,San Francisco MLS,470234,N,Y,37.7922314,-122.4012282
PAST SALE,July-6-2018,Condo/Co-op,201 Folsom St Unit 15c,San Francisco,CA,94105,2045000,2,2.0,South Beach,1400,,2016,9,1461,1142,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-15C/home/125805683,San Francisco MLS,471497,N,Y,37.7886997,-122.39226
PAST SALE,July-13-2018,Condo/Co-op,1 Hawthorne St Unit 5F,San Francisco,CA,94105,710000,1,1.0,Yerba Buena,504,,2010,2,1409,661,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-5F/home/40138688,San Francisco MLS,471237,N,Y,37.7857356,-122.3989521
PAST SALE,July-13-2018,Condo/Co-op,338 Main St Unit D33E,San Francisco,CA,94105,2950000,3,3.0,South Beach,1791,,2016,2,1647,1204,Sold,,,http://www.redfin.com/CA/San-Francisco/338-Main-St-94105/unit-D33E/home/110052607,San Francisco MLS,468765,N,Y,37.7888208,-122.3912963
PAST SALE,June-20-2018,Condo/Co-op,301 Main St Unit 12A,San Francisco,CA,94105,1425000,2,2.0,South Beach,1163,,2008,25,1225,947,Sold,,,http://www.redfin.com/CA/San-Francisco/301-Main-St-94105/unit-12A/home/21966699,San Francisco MLS,470209,N,Y,37.7895974,-122.3911965
PAST SALE,,Unknown,181 Fremont St Unit 60B,San Francisco,CA,94105,6820000,,,,,,,,,,,,,http://www.redfin.com/CA/San-Francisco/181-Fremont-St-94105/unit-60B/home/146226810,,,N,Y,37.7898082,-122.3953565
PAST SALE,July-12-2018,Condo/Co-op,1 Hawthorne St Unit 19A,San Francisco,CA,94105,1200000,1,1.0,Yerba Buena,909,,2010,3,1320,731,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Hawthorne-St-94105/unit-19A/home/40628865,San Francisco MLS,471507,N,Y,37.7857356,-122.3989521
PAST SALE,June-15-2018,Condo/Co-op,151 Alice B. Toklas Pl #606,San Francisco,CA,94109,1385000,2,2.0,Van Ness/Civic Center,1490,,,30,930,896,Sold,,,http://www.redfin.com/CA/San-Francisco/151-Alice-B-Toklas-94109/unit-606/home/1915059,San Francisco MLS,468889,N,Y,37.7850879,-122.420674
PAST SALE,July-12-2018,Condo/Co-op,601 Van Ness Ave #1028,San Francisco,CA,94102,425000,0,1.0,Van Ness/Civic Center,489,,1982,3,869,742,Sold,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-1028/home/1117329,San Francisco MLS,472053,N,Y,37.7817846,-122.4208606
PAST SALE,June-19-2018,Condo/Co-op,151 Alice B. Toklas Pl #511,San Francisco,CA,94109,925000,1,1.0,Van Ness/Civic Center,1267,,1920,26,730,759,Sold,,,http://www.redfin.com/CA/San-Francisco/151-Alice-B-Toklas-94109/unit-511/home/941213,San Francisco MLS,468793,N,Y,37.7850879,-122.420674
PAST SALE,June-29-2018,Single Family Residential,110 Summit St,San Francisco,CA,94112,1335000,3,2.0,Oceanview,1661,1763,1962,16,804,,Sold,,,http://www.redfin.com/CA/San-Francisco/110-Summit-St-94112/home/1929554,San Francisco MLS,471071,N,Y,37.7164398,-122.4537456
PAST SALE,July-9-2018,Single Family Residential,840 Mount Vernon Ave,San Francisco,CA,94112,1225000,2,1.0,Ingleside,1002,3031,1939,6,1223,,Sold,,,http://www.redfin.com/CA/San-Francisco/840-Mt-Vernon-Ave-94112/home/1672520,San Francisco MLS,471628,N,Y,37.7200524,-122.4521422
PAST SALE,June-27-2018,Multi-Family (5+ Unit),1935 Jefferson St,San Francisco,CA,94123,5275000,12,,San Francisco County,8025,3781,1930,18,657,,Sold,,,http://www.redfin.com/CA/San-Francisco/1935-Jefferson-St-94123/home/583794,BAREIS,21803484,N,Y,37.8042749,-122.444392
PAST SALE,June-29-2018,Condo/Co-op,1921 Jefferson St #107,San Francisco,CA,94123,1075000,2,2.0,Marina,826,,1991,16,1301,554,Sold,,,http://www.redfin.com/CA/San-Francisco/1921-Jefferson-St-94123/unit-107/home/1050567,San Francisco MLS,471896,N,Y,37.8044607,-122.4440256
PAST SALE,June-29-2018,Condo/Co-op,238 Parker Ave,San Francisco,CA,94118,2462000,3,3.5,Lone Mountain,1996,,,16,1233,250,Sold,,,http://www.redfin.com/CA/San-Francisco/238-Parker-Ave-94118/home/110033900,San Francisco MLS,470866,N,Y,37.781035,-122.453681
PAST SALE,July-5-2018,Single Family Residential,831 Marina Blvd,San Francisco,CA,94123,4100000,3,3.5,Marina,3128,2391,1938,10,1311,,Sold,,,http://www.redfin.com/CA/San-Francisco/831-Marina-Blvd-94123/home/1968953,San Francisco MLS,471986,N,Y,37.8048299,-122.4478854
PAST SALE,June-15-2018,Single Family Residential,18 Starview Way,San Francisco,CA,94131,1460000,3,2.0,Midtown Terrace,,3323,1956,30,,,Sold,,,http://www.redfin.com/CA/San-Francisco/18-Starview-Way-94131/home/1191807,San Francisco MLS,470012,N,Y,37.7494913,-122.4515562
PAST SALE,July-9-2018,Single Family Residential,472 Lansdale Ave,San Francisco,CA,94127,1350000,3,2.0,Sherwood Forest,1347,2809,1958,6,1002,,Sold,,,http://www.redfin.com/CA/San-Francisco/472-Lansdale-Ave-94127/home/686024,San Francisco MLS,469912,N,Y,37.7360306,-122.4547961
PAST SALE,July-9-2018,Single Family Residential,178 Amber Dr,San Francisco,CA,94131,2550000,4,2.5,Diamond Heights,2020,3510,1962,6,1262,,Sold,,,http://www.redfin.com/CA/San-Francisco/178-Amber-Dr-94131/home/838094,San Francisco MLS,471627,N,Y,37.7443137,-122.4450643
PAST SALE,July-9-2018,Single Family Residential,31 Verna St,San Francisco,CA,94127,1250000,2,1.0,Miraloma Park,,,1959,6,,,Sold,,,http://www.redfin.com/CA/San-Francisco/31-Verna-St-94127/home/2024500,San Francisco MLS,471879,N,Y,37.7353272,-122.4482499
PAST SALE,June-29-2018,Single Family Residential,372 Cresta Vista Dr,SAN FRANCISCO,CA,94127,1408000,3,1.0,SAN FRANCISCO,1326,4617,1959,16,1062,,Sold,,,http://www.redfin.com/CA/San-Francisco/372-Cresta-Vista-Dr-94127/home/1112464,MLSListings,ML81707355,N,Y,37.7356961,-122.452075
PAST SALE,June-28-2018,Condo/Co-op,798 Great Hwy #3,San Francisco,CA,94121-3267,1075000,1,2.0,Outer Richmond,1515,1515,1991,17,710,426,Sold,,,http://www.redfin.com/CA/San-Francisco/798-Great-Hwy-94121/unit-3/home/1984708,EBRD/CCAR/Bay East,40818385,N,Y,37.7733668,-122.5106875
PAST SALE,June-29-2018,Single Family Residential,674 43rd Ave,San Francisco,CA,94121,1750000,3,2.0,Outer Richmond,1870,2996,1924,16,936,,Sold,,,http://www.redfin.com/CA/San-Francisco/674-43rd-Ave-94121/home/1724628,San Francisco MLS,470349,N,Y,37.7759249,-122.5034817
PAST SALE,June-29-2018,Single Family Residential,811 41st Ave,San Francisco,CA,94121,1500000,2,1.0,Outer Richmond,1465,2374,1925,16,1024,,Sold,,,http://www.redfin.com/CA/San-Francisco/811-41st-Ave-94121/home/1314906,San Francisco MLS,472885,N,Y,37.7733591,-122.5016691
PAST SALE,June-21-2018,Single Family Residential,618 48th Ave,San Francisco,CA,94121,3310000,4,4.0,Outer Richmond,3735,3959,1951,24,886,,Sold,,,http://www.redfin.com/CA/San-Francisco/618-48th-Ave-94121/home/621109,San Francisco MLS,471083,N,Y,37.7766008,-122.5090077
PAST SALE,June-26-2018,Single Family Residential,740 Francisco St,San Francisco,CA,94105,2375000,2,2.5,San Francisco,1430,3592,1948,19,1661,,Sold,,,http://www.redfin.com/CA/San-Francisco/740-Francisco-St-94133/home/1215937,EBRD/CCAR/Bay East,40824858,N,Y,37.8043897,-122.4173801
PAST SALE,June-28-2018,Single Family Residential,10 Imperial Ave,San Francisco,CA,94123,2000000,3,1.5,Cow Hollow,1612,2056,1906,17,1241,,Sold,,,http://www.redfin.com/CA/San-Francisco/10-Imperial-Ave-94123/home/1699276,San Francisco MLS,471097,N,Y,37.799775,-122.4269845
PAST SALE,June-15-2018,Condo/Co-op,3058 Polk St #2,San Francisco,CA,94109,1420000,3,2.0,Russian Hill,1385,,1989,30,1025,600,Sold,,,http://www.redfin.com/CA/San-Francisco/3058-Polk-St-94109/unit-2/home/1674909,San Francisco MLS,469921,N,Y,37.8051009,-122.4233882
PAST SALE,June-24-2018,Single Family Residential,1868 Greenwich St,San Francisco,CA,94123,3000000,2,1.0,Cow Hollow,1636,3438,1910,21,1834,,Sold,,,http://www.redfin.com/CA/San-Francisco/1868-Greenwich-St-94123/home/1235533,San Francisco MLS,472675,N,Y,37.7998319,-122.4305987
PAST SALE,June-26-2018,Condo/Co-op,1865 Clay St #5,San Francisco,CA,94109,1850000,3,2.0,Pacific Heights,1670,,1914,19,1108,765,Sold,,,http://www.redfin.com/CA/San-Francisco/1865-Clay-St-94109/unit-5/home/110051574,San Francisco MLS,470760,N,Y,37.7917921,-122.4238306
PAST SALE,June-29-2018,Condo/Co-op,1101 Green St #603,San Francisco,CA,94109,950000,1,2.0,Russian Hill,918,,1930,16,1035,1421,Sold,,,http://www.redfin.com/CA/San-Francisco/1101-Green-St-94109/unit-603/home/541969,San Francisco MLS,471299,N,Y,37.7982681,-122.4174152
PAST SALE,July-6-2018,Condo/Co-op,1425 Vallejo St #306,San Francisco,CA,94109,850000,1,1.0,Russian Hill,792,,1982,9,1073,590,Sold,,,http://www.redfin.com/CA/San-Francisco/1425-Vallejo-St-94109/unit-306/home/11743020,San Francisco MLS,471020,N,Y,37.7969072,-122.4209327
PAST SALE,,Multi-Family (2-4 Unit),720 Masonic Ave,San Francisco,CA,94117,2000000,,2.0,,2660,2935,1912,,752,,,,,http://www.redfin.com/CA/San-Francisco/720-Masonic-Ave-94117/home/1942737,,,N,Y,37.774521,-122.4458257
PAST SALE,June-29-2018,Condo/Co-op,1310 Fillmore St #905,San Francisco,CA,94115,872000,1,1.0,Western Addition,749,,2007,16,1164,695,Sold,,,http://www.redfin.com/CA/San-Francisco/1310-Fillmore-St-94115/unit-905/home/17306630,San Francisco MLS,470438,N,Y,37.7819513,-122.4319769
PAST SALE,June-29-2018,Multi-Family (5+ Unit),936 Scott St,San Francisco,CA,94115,3312500,12,,Alamo Square,6942,3275,1927,16,477,,Sold,,,http://www.redfin.com/CA/San-Francisco/936-Scott-St-94115/home/578964,San Francisco MLS,468518,N,Y,37.7785216,-122.4366072
PAST SALE,June-29-2018,Condo/Co-op,1171 Oak St #4,San Francisco,CA,94117,1200000,2,2.0,Haight Ashbury,,,,16,,403,Sold,,,http://www.redfin.com/CA/San-Francisco/1171-Oak-St-94117/unit-4/home/1266841,San Francisco MLS,470144,N,Y,37.772708,-122.43853
PAST SALE,July-10-2018,Condo/Co-op,1057 Haight St,San Francisco,CA,94117,1320000,2,2.0,Haight Ashbury,,,1965,5,,210,Sold,,,http://www.redfin.com/CA/San-Francisco/1057-Haight-St-94117/home/1967458,San Francisco MLS,471901,N,Y,37.7707739,-122.4395244
PAST SALE,July-11-2018,Multi-Family (2-4 Unit),246-248 Parker Ave,San Francisco,CA,94118,2500000,5,4.0,Lone Mountain,2696,2583,1900,4,927,,Sold,,,http://www.redfin.com/CA/San-Francisco/248-Parker-Ave-94118/home/593264,San Francisco MLS,472096,N,Y,37.7809705,-122.4537433
PAST SALE,July-12-2018,Condo/Co-op,1930 Hayes St #4,San Francisco,CA,94117,1125000,2,1.5,North Panhandle,815,,1980,3,1380,250,Sold,,,http://www.redfin.com/CA/San-Francisco/1930-Hayes-St-94117/unit-4/home/1859628,San Francisco MLS,470166,N,Y,37.7739417,-122.4483383
